ID,AGE,GENDER,DRIVING_EXPERIENCE,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,Vehicle t ype,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,,,air bag
569520,65+,female,0-9y,upper class,0.629027314,1,after 2015,0,1,10238,12000,0,0,0,0,Sedan,,,,WHITESTONE EXPRESSWAY,20 AVENUE,,2,0,0,0,0,0,2,0,Aggressive Driving/Road Rage,,,1
750365,16-25,male,0-9y,poverty,0.357757117,0,before 2015,0,0,10238,16000,0,0,0,1,Sedan,,,,QUEENSBORO BRIDGE UPPER,,,1,0,0,0,0,0,1,0,Pavement Slippery,,,0
199901,16-25,female,0-9y,working class,0.493145785,1,before 2015,0,0,10238,11000,0,0,0,0,Sedan,,,,THROGS NECK BRIDGE,,,0,0,0,0,0,0,0,0,Following Too Closely,,,1
478866,16-25,male,0-9y,working class,0.206012851,1,before 2015,0,1,32765,11000,0,0,0,0,,40.667202,-73.8665,"(40.667202, -73.8665)",,,1211      LORING AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,0
731664,26-39,male,10-19y,working class,0.388365888,1,before 2015,0,0,32765,12000,2,0,1,1,Dump,40.683304,-73.917274,"(40.683304, -73.917274)",SARATOGA AVENUE,DECATUR STREET,,0,0,0,0,0,0,0,0,,,,1
877557,40-64,female,20-29y,upper class,0.619127373,1,after 2015,0,1,10238,13000,3,0,3,0,Sedan,,,,MAJOR DEEGAN EXPRESSWAY RAMP,,,0,0,0,0,0,0,0,0,Unspecified,,,1
930134,65+,male,30y+,upper class,0.49294355,0,after 2015,1,1,10238,13000,7,0,3,0,Sedan,40.709183,-73.956825,"(40.709183, -73.956825)",BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Passing Too Closely,,,0
461006,26-39,female,0-9y,working class,0.468689297,0,after 2015,0,1,10238,14000,0,0,0,1,Sedan,40.86816,-73.83148,"(40.86816, -73.83148)",,,344       BAYCHESTER AVENUE,2,0,0,0,0,0,2,0,Unspecified,,,1
68366,40-64,female,20-29y,working class,0.521814936,0,before 2015,1,0,10238,13000,0,0,0,0,Sedan,40.67172,-73.8971,"(40.67172, -73.8971)",,,2047      PITKIN AVENUE,0,0,0,0,0,0,0,0,Driver Inexperience,,,0
445911,40-64,female,0-9y,upper class,0.561531032,1,before 2015,0,1,32765,11000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.75144,-73.97397,"(40.75144, -73.97397)",3 AVENUE,EAST 43 STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,,,1
